timestamp,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8,attack
0,-1,0.999976447312638,-0.748738206116731,-1,0.99435267542002,0,-1,-0.642857142857143,1.00004614653371,1,0.566415140397609,0.998434101783383,2.14664586583463,-1,-0.765675620258355,-1,-0.467745041401887,-0.059837386189067,-1,-0.33332882213233,0.999425925925926,-1,0.941907395048781,-1,-1,-1.0011566334737,-0.826086956521739,0.0
1,-1,0.999976447312638,-0.748738206116731,-1,0.993787942962022,0,-1,-0.964285714285714,1.00004614653371,1,0.280475722090995,0.997912135711178,2.14664586583463,-1,-0.76403526758253,-0.999214057884273,-0.467205854034277,-0.059237888268575,-1,-0.33332882213233,0.999296296296296,-1,0.944195506403533,-1,-1,-1.0011566334737,-0.869565217391304,0.0
2,-1,0.999976447312638,-0.748738206116731,-1,0.99435267542002,0,-1,-0.785714285714286,1.00004614653371,1,-1.22586388862962,1.00052196607221,2.14664586583463,-1,-0.762394914906705,-0.998428115768547,-0.467128827267475,-0.059162951028514,-1,-0.33332882213233,0.999611111111111,-1,0.943750595862332,0.952799629801018,0.983734833831546,-1.0011566334737,-0.869565217391304,0.0
3,-1,0.999976447312638,-0.748738206116731,-1,0.993505576733022,0,-1,-0.892857142857143,1.00004614653371,1,-0.418766109288285,0.998086124401913,2.15132605304212,-1,-0.76075456223088,-0.99764217365373,-0.466589639899865,-0.058563453108022,-1,-0.33332882213233,0.9995,-1,0.94108113261512,0.951874132346136,-1,-1.0011566334737,-0.782608695652174,0.0
4,-1,0.999976447312638,-0.748738206116731,-1,0.99435267542002,0,-1,-0.964285714285714,1.00004614653371,1,0.714042632625661,0.998434101783383,2.16380655226209,-1,-0.759114209555054,-0.996856231538004,-0.451646447140381,-0.056015586945933,-1,-1,0.999518518518519,-1,0.941653160453808,-1,-1,-1.0011566334737,-0.869565217391304,0.0
5,-1,0.999976447312638,-0.748738206116731,-1,0.993505576733022,-1,-1,-0.857142857142857,1.00004614653371,1,0.476368257432709,0.998956067855589,2.17316692667707,-1,-0.757473856879229,-0.996070289423187,-0.450645099171962,-0.055191277305257,-1,-0.33332882213233,0.9995,-1,0.940826898020148,-1,0.983734833831546,-1.0011566334737,-0.695652173913043,0.0
6,-1,0.999976447312638,-0.748738206116731,-1,0.993505576733022,0,-1,-0.964285714285714,1.00004614653371,1,0.566630529210312,0.998260113092648,2.17784711388456,-1,-0.755833504203404,-0.995284347307461,-0.448719430001926,-0.053992281464274,-1,-0.33332882213233,0.999444444444444,-1,0.943432802618616,0.950023137436372,0.970371021628275,-1.0011566334737,-0.91304347826087,0.0
7,-1,0.999976447312638,-0.748738206116731,-1,0.993505576733022,0,-1,-0.964285714285714,1.00004614653371,1,0.565334606520536,0.997390169638973,2.18252730109204,-1,-0.754193151527578,-0.994498405191734,-0.983362218370884,-0.762224137285024,-1,-0.33332882213233,0.999574074074074,-1,0.945975148568341,0.94909763998149,0.994988570423774,-1.0011566334737,-0.826086956521739,0.0
8,-1,0.999976447312638,-0.748738206116731,-1,0.992376111817027,0,-1,-0.964285714285714,1.00004614653371,1,0.565356145401806,0.997390169638973,2.18720748829953,-1,-0.752552798851753,-0.993712463076918,-0.981898709801656,-0.761324890404286,-1,-0.33332882213233,0.999425925925926,-1,0.940954015317634,0.94909763998149,0.994988570423774,-1.0011566334737,-1,0.0
9,-1,0.795798200574686,-1.09398188923638,-1,0.991811379359028,0,-1,-0.964285714285714,1.00004614653371,1,0.565223322300641,0.997738147020443,2.19344773790952,-1,-0.750912446175928,-0.992926520961191,-0.9789716926632,-0.760050957323242,-1,-0.33332882213233,0.999574074074074,-1,0.940318428830203,0.94909763998149,0.994988570423774,-1.0011566334737,-0.956521739130435,0.0
10,-1,0.792865890998163,-1.09676653780635,-1,0.991811379359028,0,-1,-0.785714285714286,1.00004614653371,1,0.565331016706993,0.997042192257503,-1,-1,-0.749272093500102,-0.992140578846374,-0.977816291161178,-0.782307317621492,-1,-0.33332882213233,0.999611111111111,-1,0.942860774779928,-1,0.994988570423774,-1.0011566334737,-1,0.0
11,-1,0.791841349097933,-1.09122888440017,-1,0.992658478046026,0,-1,0.964285714285714,1.00004614653371,1,0.566415140397609,0.997738147020443,-0.998439937597504,-1,-0.747631740824277,-0.991354636730648,-0.91896784132486,-0.777361459777436,-1,-0.33332882213233,0.999481481481481,-1,0.941017573966377,-1,-1,-1.0011566334737,-0.782608695652174,0.0
12,-1,0.790769701822978,-1.08577561428398,-1,0.991811379359028,-1,-1,0.714285714285714,1.00004614653371,1,0.334326515080807,0.980513266637668,-0.996879875195008,-1,-0.745991388148452,-0.990568694614922,-0.88476795686501,-0.774363970174978,-1,-0.33332882213233,0.999555555555556,-1,0.942987892077414,0.948172142526608,-1,-1.0011566334737,-0.695652173913043,0.0
